Tarih,Ders,Hafta,Ders Numarası,Öğrenci,Durum
2024-10-03 00:06:46,kalkulus,1,1,1234_mert,+
2024-10-03 00:06:46,kalkulus,1,1,123_mert,-
2024-10-03 00:06:46,kalkulus,1,1,123_mert,-
2024-10-03 00:06:46,kalkulus,1,1,312_mert,-
2024-10-03 00:08:02,kalkulus,1,2,1234_mert,+
2024-10-03 00:08:02,kalkulus,1,2,123_mert,-
2024-10-03 00:08:02,kalkulus,1,2,123_mert,-
2024-10-03 00:08:02,kalkulus,1,2,312_mert,-
2024-10-03 00:08:15,kalkulus,1,2,1234_mert,+
2024-10-03 00:08:15,kalkulus,1,2,123_mert,-
2024-10-03 00:08:15,kalkulus,1,2,123_mert,-
2024-10-03 00:08:15,kalkulus,1,2,312_mert,-
