Tarih,Ders,Hafta,Ders Numarası,Öğrenci,Durum
2024-10-03 14:22:10,turkce,1,1,1234_mert,+
2024-10-03 14:22:10,turkce,1,1,123_mert,-
2024-10-03 14:22:10,turkce,1,1,123_mert,-
2024-10-03 14:22:10,turkce,1,1,312_mert,-
2024-10-03 14:22:10,turkce,1,1,543_ipek,-
2024-10-03 14:22:45,turkce,1,1,1234_mert,+
2024-10-03 14:22:45,turkce,1,1,123_mert,-
2024-10-03 14:22:45,turkce,1,1,123_mert,-
2024-10-03 14:22:45,turkce,1,1,312_mert,-
2024-10-03 14:22:45,turkce,1,1,543_ipek,-
2024-10-03 14:23:14,turkce,1,1,1234_mert,+
2024-10-03 14:23:14,turkce,1,1,123_mert,-
2024-10-03 14:23:14,turkce,1,1,123_mert,-
2024-10-03 14:23:14,turkce,1,1,312_mert,-
2024-10-03 14:23:14,turkce,1,1,543_ipek,-
2024-10-03 14:23:14,turkce,1,1,875_ipek,-
2024-10-03 14:23:42,turkce,1,1,1234_mert,+
2024-10-03 14:23:42,turkce,1,1,123_mert,-
2024-10-03 14:23:42,turkce,1,1,123_mert,-
2024-10-03 14:23:42,turkce,1,1,312_mert,-
2024-10-03 14:23:42,turkce,1,1,543_ipek,-
2024-10-03 14:23:42,turkce,1,1,875_ipek,-
2024-10-03 14:23:51,turkce,1,1,1234_mert,+
2024-10-03 14:23:51,turkce,1,1,123_mert,-
2024-10-03 14:23:51,turkce,1,1,123_mert,-
2024-10-03 14:23:51,turkce,1,1,312_mert,-
2024-10-03 14:23:51,turkce,1,1,543_ipek,-
2024-10-03 14:23:51,turkce,1,1,875_ipek,-
2024-10-03 14:24:06,turkce,1,1,1234_mert,+
2024-10-03 14:24:06,turkce,1,1,123_mert,-
2024-10-03 14:24:06,turkce,1,1,123_mert,-
2024-10-03 14:24:06,turkce,1,1,312_mert,-
2024-10-03 14:24:06,turkce,1,1,543_ipek,-
2024-10-03 14:24:06,turkce,1,1,875_ipek,-
2024-10-03 23:06:46,turkce,1,1,1234_mert,+
2024-10-03 23:06:46,turkce,1,1,123_mert,-
2024-10-03 23:06:46,turkce,1,1,123_mert,-
2024-10-03 23:06:46,turkce,1,1,312_mert,-
2024-10-03 23:06:46,turkce,1,1,543_ipek,-
2024-10-03 23:06:46,turkce,1,1,875_ipek,-
2024-10-03 23:06:46,turkce,1,1,31_mehmet,+
2024-10-03 23:07:24,turkce,1,1,1234_mert,+
2024-10-03 23:07:24,turkce,1,1,123_mert,-
2024-10-03 23:07:24,turkce,1,1,123_mert,-
2024-10-03 23:07:24,turkce,1,1,312_mert,-
2024-10-03 23:07:24,turkce,1,1,543_ipek,-
2024-10-03 23:07:24,turkce,1,1,875_ipek,-
2024-10-03 23:07:24,turkce,1,1,31_mehmet,+
2024-10-03 23:07:53,turkce,1,1,1234_mert,+
2024-10-03 23:07:53,turkce,1,1,123_mert,-
2024-10-03 23:07:53,turkce,1,1,123_mert,-
2024-10-03 23:07:53,turkce,1,1,312_mert,-
2024-10-03 23:07:53,turkce,1,1,543_ipek,-
2024-10-03 23:07:53,turkce,1,1,875_ipek,-
2024-10-03 23:07:53,turkce,1,1,31_mehmet,+
2024-10-11 10:12:50,turkce,1,1,1234_mert,+
2024-10-11 10:12:50,turkce,1,1,123_mert,-
2024-10-11 10:12:50,turkce,1,1,123_mert,-
2024-10-11 10:12:50,turkce,1,1,312_mert,-
2024-10-11 10:12:50,turkce,1,1,543_ipek,-
2024-10-11 10:12:50,turkce,1,1,875_ipek,-
2024-10-11 10:12:50,turkce,1,1,31_mehmet,-
2024-10-11 10:13:25,turkce,1,2,1234_mert,+
2024-10-11 10:13:25,turkce,1,2,123_mert,-
2024-10-11 10:13:25,turkce,1,2,123_mert,-
2024-10-11 10:13:25,turkce,1,2,312_mert,-
2024-10-11 10:13:25,turkce,1,2,543_ipek,-
2024-10-11 10:13:25,turkce,1,2,875_ipek,-
2024-10-11 10:13:25,turkce,1,2,31_mehmet,-
2024-10-11 11:45:27,turkce,1,1,1234_mert,+
2024-10-11 11:45:27,turkce,1,1,123_mert,-
2024-10-11 11:45:27,turkce,1,1,123_mert,-
2024-10-11 11:45:27,turkce,1,1,312_mert,-
2024-10-11 11:45:27,turkce,1,1,543_ipek,-
2024-10-11 11:45:27,turkce,1,1,875_ipek,-
2024-10-11 11:45:27,turkce,1,1,31_mehmet,-
2024-10-26 23:55:39,turkce,1,1,1234_mert,+
2024-10-26 23:55:39,turkce,1,1,123_mert,-
2024-10-26 23:55:39,turkce,1,1,123_mert,-
2024-10-26 23:55:39,turkce,1,1,312_mert,-
2024-10-26 23:55:39,turkce,1,1,543_ipek,-
2024-10-26 23:55:39,turkce,1,1,875_ipek,-
2024-10-26 23:55:39,turkce,1,1,31_mehmet,-
2024-10-27 00:02:21,turkce,1,1,1234_mert,+
2024-10-27 00:02:21,turkce,1,1,123_mert,-
2024-10-27 00:02:21,turkce,1,1,123_mert,-
2024-10-27 00:02:21,turkce,1,1,312_mert,-
2024-10-27 00:02:21,turkce,1,1,543_ipek,-
2024-10-27 00:02:21,turkce,1,1,875_ipek,-
2024-10-27 00:02:21,turkce,1,1,31_mehmet,-
2024-10-27 00:27:37,turkce,2,1,1234_mert,+
2024-10-27 00:27:37,turkce,2,1,123_mert,-
2024-10-27 00:27:37,turkce,2,1,123_mert,-
2024-10-27 00:27:37,turkce,2,1,312_mert,-
2024-10-27 00:27:37,turkce,2,1,543_ipek,-
2024-10-27 00:27:37,turkce,2,1,875_ipek,-
2024-10-27 00:27:37,turkce,2,1,31_mehmet,-
2024-10-27 00:27:37,turkce,2,1,12345_mertkf,-
2024-10-27 00:51:12,turkce,1,1,1234_mert,+
2024-10-27 00:51:12,turkce,1,1,123_mert,-
2024-10-27 00:51:12,turkce,1,1,123_mert,-
2024-10-27 00:51:12,turkce,1,1,312_mert,-
2024-10-27 00:51:12,turkce,1,1,543_ipek,-
2024-10-27 00:51:12,turkce,1,1,875_ipek,-
2024-10-27 00:51:12,turkce,1,1,31_mehmet,-
2024-10-27 00:51:12,turkce,1,1,12345_mertkf,-
2024-10-27 10:54:55,turkce,1,1,1234_mert,+
2024-10-27 11:39:32,turkce,1,1,1234_mert,+
2024-10-27 11:39:32,turkce,1,1,123_mert,-
2024-10-27 11:39:32,turkce,1,1,123_mert,-
2024-10-27 11:39:32,turkce,1,1,312_mert,-
2024-10-27 11:39:32,turkce,1,1,543_ipek,-
2024-10-27 11:39:32,turkce,1,1,875_ipek,-
2024-10-27 11:39:32,turkce,1,1,31_mehmet,-
2024-10-27 11:39:32,turkce,1,1,12345_mertkf,-
2024-11-22 10:55:52,turkce,1,1,1234_mert,+
2024-11-22 10:55:52,turkce,1,1,123_mert,-
2024-11-22 10:55:52,turkce,1,1,123_mert,-
2024-11-22 10:55:52,turkce,1,1,312_mert,-
2024-11-22 10:55:52,turkce,1,1,543_ipek,-
2024-11-22 10:55:52,turkce,1,1,875_ipek,-
2024-11-22 10:55:52,turkce,1,1,31_mehmet,-
2024-11-22 10:55:52,turkce,1,1,12345_mertkf,-
2024-11-22 10:56:58,turkce,1,1,1234_mert,+
2024-11-22 10:56:58,turkce,1,1,123_mert,-
2024-11-22 10:56:58,turkce,1,1,123_mert,-
2024-11-22 10:56:58,turkce,1,1,312_mert,-
2024-11-22 10:56:58,turkce,1,1,543_ipek,-
2024-11-22 10:56:58,turkce,1,1,875_ipek,-
2024-11-22 10:56:58,turkce,1,1,31_mehmet,-
2024-11-22 10:56:58,turkce,1,1,12345_mertkf,-
2024-11-22 10:57:07,turkce,1,1,1234_mert,+
2024-11-22 10:57:07,turkce,1,1,123_mert,-
2024-11-22 10:57:07,turkce,1,1,123_mert,-
2024-11-22 10:57:07,turkce,1,1,312_mert,-
2024-11-22 10:57:07,turkce,1,1,543_ipek,-
2024-11-22 10:57:07,turkce,1,1,875_ipek,-
2024-11-22 10:57:07,turkce,1,1,31_mehmet,-
2024-11-22 10:57:07,turkce,1,1,12345_mertkf,-
2024-11-22 10:57:44,turkce,1,1,1234_mert,+
2024-11-22 10:57:44,turkce,1,1,123_mert,-
2024-11-22 10:57:44,turkce,1,1,123_mert,-
2024-11-22 10:57:44,turkce,1,1,312_mert,-
2024-11-22 10:57:44,turkce,1,1,543_ipek,-
2024-11-22 10:57:44,turkce,1,1,875_ipek,-
2024-11-22 10:57:44,turkce,1,1,31_mehmet,-
2024-11-22 10:57:44,turkce,1,1,12345_mertkf,-
2024-11-22 10:58:03,turkce,1,1,1234_mert,-
2024-11-22 10:58:03,turkce,1,1,123_mert,-
2024-11-22 10:58:03,turkce,1,1,123_mert,-
2024-11-22 10:58:03,turkce,1,1,312_mert,-
2024-11-22 10:58:03,turkce,1,1,543_ipek,-
2024-11-22 10:58:03,turkce,1,1,875_ipek,-
2024-11-22 10:58:03,turkce,1,1,31_mehmet,-
2024-11-22 10:58:03,turkce,1,1,12345_mertkf,-
2024-11-22 10:59:08,turkce,1,1,1234_mert,-
2024-11-22 10:59:08,turkce,1,1,123_mert,-
2024-11-22 10:59:08,turkce,1,1,123_mert,-
2024-11-22 10:59:08,turkce,1,1,312_mert,-
2024-11-22 10:59:08,turkce,1,1,543_ipek,-
2024-11-22 10:59:08,turkce,1,1,875_ipek,-
2024-11-22 10:59:08,turkce,1,1,31_mehmet,-
2024-11-22 10:59:08,turkce,1,1,12345_mertkf,-
2024-11-22 19:56:43,turkce,1,1,1234_mert,+
2024-11-22 19:56:44,turkce,1,1,1234_mert,+
2024-11-22 19:56:45,turkce,1,1,1234_mert,+
2024-11-22 19:56:46,turkce,1,1,1234_mert,+
2024-11-22 19:56:48,turkce,1,1,1234_mert,+
